province;red;green;blue;x;x
1;226;125;67;Province0001;x
2;173;227;78;Province0002;x
3;229;39;109;Province0003;x
4;141;196;85;Province0004;x
5;239;80;10;Province0005;x
6;134;235;110;Province0006;x
7;213;79;69;Province0007;x
8;69;149;100;Province0008;x
9;186;155;105;Province0009;x
10;181;59;13;Province0010;x
11;176;176;86;Province0011;x
12;87;129;17;Province0012;x
13;237;16;123;Province0013;x
14;77;112;92;Province0014;x
15;89;23;58;Province0015;x
16;92;231;39;Province0016;x
17;249;221;100;Province0017;x
18;244;254;68;Province0018;x
19;132;97;12;Province0019;x
20;67;129;59;Province0020;x
21;70;123;32;Province0021;x
22;110;70;70;Province0022;x
23;182;252;13;Province0023;x
24;81;83;112;Province0024;x
25;180;103;58;Province0025;x
26;172;109;86;Province0026;x
27;247;33;3;Province0027;x
28;169;184;26;Province0028;x
29;219;172;65;Province0029;x
30;123;145;65;Province0030;x
31;104;95;97;Province0031;x
32;169;251;40;Province0032;x
33;117;102;112;Province0033;x
34;141;121;60;Province0034;x
35;246;155;23;Province0035;x
36;115;85;89;Province0036;x
37;111;93;23;Province0037;x
38;106;57;100;Province0038;x
39;80;161;71;Province0039;x
40;193;96;126;Province0040;x
41;129;111;65;Province0041;x
42;165;167;27;Province0042;x
43;220;69;118;Province0043;x
44;214;8;55;Province0044;x
45;162;137;8;Province0045;x
46;254;74;77;Province0046;x
47;63;56;76;Province0047;x
48;253;208;2;Province0048;x
49;67;193;70;Province0049;x
50;128;138;41;Province0050;x
51;189;203;39;Province0051;x
52;101;27;48;Province0052;x
53;246;108;39;Province0053;x
54;250;146;68;Province0054;x
55;143;30;99;Province0055;x
56;186;133;71;Province0056;x
57;65;234;49;Province0057;x
58;203;253;94;Province0058;x
59;234;133;111;Province0059;x
60;118;249;50;Province0060;x
61;162;131;7;Province0061;x
62;93;173;21;Province0062;x
63;243;123;87;Province0063;x
64;142;41;67;Province0064;x
65;159;159;29;Province0065;x
66;246;182;118;Province0066;x
67;170;200;24;Province0067;x
68;249;80;99;Province0068;x
69;202;127;2;Province0069;x
70;91;41;54;Province0070;x
71;203;106;78;Province0071;x
72;88;17;126;Province0072;x
73;249;208;74;Province0073;x
74;194;175;12;Province0074;x
75;93;50;120;Province0075;x
76;234;232;80;Province0076;x
77;196;80;91;Province0077;x
78;189;144;4;Province0078;x
79;65;36;121;Province0079;x
80;134;107;100;Province0080;x
81;123;76;31;Province0081;x
82;141;144;20;Province0082;x
83;83;77;29;Province0083;x
84;81;220;69;Province0084;x
85;217;184;35;Province0085;x
86;172;105;126;Province0086;x
87;223;251;48;Province0087;x
88;198;27;51;Province0088;x
89;85;105;108;Province0089;x
90;123;33;63;Province0090;x
91;100;29;33;Province0091;x
92;90;211;106;Province0092;x
93;84;13;101;Province0093;x
94;71;131;12;Province0094;x
95;196;249;58;Province0095;x
96;223;31;3;Province0096;x
97;98;155;31;Province0097;x
98;105;75;61;Province0098;x
99;216;129;83;Province0099;x
100;101;84;43;Province0100;x
101;173;26;108;Province0101;x
102;91;26;85;Province0102;x
103;197;5;92;Province0103;x
104;124;159;34;Province0104;x
105;180;235;29;Province0105;x
106;91;97;53;Province0106;x
107;166;111;16;Province0107;x
108;230;110;49;Province0108;x
109;178;65;76;Province0109;x
110;241;179;39;Province0110;x
111;129;207;53;Province0111;x
112;215;15;7;Province0112;x
113;253;163;39;Province0113;x
114;192;143;52;Province0114;x
115;198;126;4;Province0115;x
116;228;54;83;Province0116;x
117;183;86;69;Province0117;x
118;74;188;14;Province0118;x
119;91;27;28;Province0119;x
120;225;249;81;Province0120;x
121;170;185;82;Province0121;x
122;97;182;13;Province0122;x
123;199;64;40;Province0123;x
124;194;232;101;Province0124;x
125;182;209;115;Province0125;x
126;125;56;94;Province0126;x
127;179;232;104;Province0127;x
128;253;115;96;Province0128;x
129;142;199;40;Province0129;x
130;161;31;63;Province0130;x
131;120;91;85;Province0131;x
132;71;159;31;Province0132;x
133;216;73;20;Province0133;x
134;192;34;47;Province0134;x
135;125;186;29;Province0135;x
136;144;48;42;Province0136;x
137;71;152;57;Province0137;x
138;222;178;32;Province0138;x
139;120;112;1;Province0139;x
140;191;242;63;Province0140;x
141;237;100;32;Province0141;x
142;167;67;27;Province0142;x
143;111;253;122;Province0143;x
144;134;196;44;Province0144;x
145;216;146;4;Province0145;x
146;165;188;16;Province0146;x
147;98;49;64;Province0147;x
148;168;250;89;Province0148;x
149;221;162;60;Province0149;x
150;203;158;44;Province0150;x
151;124;45;80;Province0151;x
152;133;157;83;Province0152;x
153;87;142;46;Province0153;x
154;174;82;59;Province0154;x
155;192;64;114;Province0155;x
156;64;119;71;Province0156;x
157;144;181;3;Province0157;x
158;69;189;119;Province0158;x
159;65;98;78;Province0159;x
160;200;155;118;Province0160;x
161;183;229;51;Province0161;x
162;179;226;115;Province0162;x
163;94;171;100;Province0163;x
164;73;40;80;Province0164;x
165;240;71;103;Province0165;x
166;121;110;10;Province0166;x
167;172;77;94;Province0167;x
168;239;114;11;Province0168;x
169;109;194;68;Province0169;x
170;192;162;101;Province0170;x
171;208;48;124;Province0171;x
172;223;141;95;Province0172;x
173;78;96;116;Province0173;x
174;216;208;106;Province0174;x
175;235;205;23;Province0175;x
176;245;50;92;Province0176;x
177;99;248;74;Province0177;x
178;158;186;108;Province0178;x
179;85;143;39;Province0179;x
180;110;155;125;Province0180;x
181;71;219;98;Province0181;x
182;243;188;41;Province0182;x
183;146;177;7;Province0183;x
184;160;146;65;Province0184;x
185;149;248;119;Province0185;x
186;160;119;10;Province0186;x
187;145;152;56;Province0187;x
188;248;37;59;Province0188;x
189;204;142;26;Province0189;x
190;206;212;100;Province0190;x
191;148;66;49;Province0191;x
192;198;248;76;Province0192;x
193;230;165;26;Province0193;x
194;89;229;16;Province0194;x
195;112;198;55;Province0195;x
196;154;246;125;Province0196;x
197;64;10;63;Province0197;x
198;190;219;0;Province0198;x
199;167;179;42;Province0199;x
200;237;66;53;Province0200;x
201;100;21;102;Province0201;x
202;84;156;50;Province0202;x
203;64;132;35;Province0203;x
204;233;240;11;Province0204;x
205;252;43;57;Province0205;x
206;174;35;72;Province0206;x
207;153;149;3;Province0207;x
208;156;200;51;Province0208;x
209;189;138;39;Province0209;x
210;202;138;86;Province0210;x
211;113;115;73;Province0211;x
212;162;156;31;Province0212;x
213;124;231;6;Province0213;x
214;87;26;113;Province0214;x
215;125;217;42;Province0215;x
216;229;57;82;Province0216;x
217;234;53;66;Province0217;x
218;115;32;26;Province0218;x
219;128;86;4;Province0219;x
220;184;0;21;Province0220;x
221;115;240;123;Province0221;x
222;195;94;101;Province0222;x
223;219;27;32;Province0223;x
224;79;42;54;Province0224;x
225;112;123;71;Province0225;x
226;107;40;34;Province0226;x
227;192;119;76;Province0227;x
228;224;184;57;Province0228;x
229;236;37;52;Province0229;x
230;178;208;28;Province0230;x
231;116;35;0;Province0231;x
232;191;132;9;Province0232;x
233;245;222;63;Province0233;x
234;213;25;100;Province0234;x
235;251;161;26;Province0235;x
236;235;151;2;Province0236;x
237;197;251;84;Province0237;x
238;168;152;53;Province0238;x
239;157;240;108;Province0239;x
240;193;55;94;Province0240;x
241;136;196;25;Province0241;x
242;214;189;73;Province0242;x
243;107;10;80;Province0243;x
244;69;73;23;Province0244;x
245;149;81;71;Province0245;x
246;91;10;63;Province0246;x
247;154;177;36;Province0247;x
248;86;196;113;Province0248;x
249;203;178;68;Province0249;x
250;126;126;26;Province0250;x
251;250;203;104;Province0251;x
252;70;197;21;Province0252;x
253;107;64;93;Province0253;x
254;83;228;43;Province0254;x
255;235;107;12;Province0255;x
256;84;151;92;Province0256;x
257;200;188;14;Province0257;x
258;142;171;72;Province0258;x
259;156;193;94;Province0259;x
260;197;151;54;Province0260;x
261;209;234;21;Province0261;x
262;179;92;25;Province0262;x
263;209;86;46;Province0263;x
264;159;70;99;Province0264;x
265;231;63;10;Province0265;x
266;154;131;79;Province0266;x
267;206;236;80;Province0267;x
268;128;40;27;Province0268;x
269;174;119;91;Province0269;x
270;194;215;67;Province0270;x
271;144;30;80;Province0271;x
272;226;21;46;Province0272;x
273;68;40;95;Province0273;x
274;195;234;123;Province0274;x
275;124;171;11;Province0275;x
276;159;175;16;Province0276;x
277;187;138;44;Province0277;x
278;215;106;98;Province0278;x
279;100;128;71;Province0279;x
280;243;115;88;Province0280;x
281;175;89;8;Province0281;x
282;129;254;23;Province0282;x
283;170;116;70;Province0283;x
284;87;111;70;Province0284;x
285;153;1;48;Province0285;x
286;231;101;34;Province0286;x
287;73;16;112;Province0287;x
288;99;69;102;Province0288;x
289;245;242;22;Province0289;x
290;205;6;8;Province0290;x
291;207;218;120;Province0291;x
292;196;81;53;Province0292;x
293;221;205;4;Province0293;x
294;157;139;57;Province0294;x
295;102;12;77;Province0295;x
296;206;28;74;Province0296;x
297;110;141;80;Province0297;x
298;128;91;24;Province0298;x
299;80;9;86;Province0299;x
300;97;29;58;Province0300;x
301;178;39;119;Province0301;x
302;250;183;119;Province0302;x
303;157;136;65;Province0303;x
304;76;210;80;Province0304;x
305;236;177;115;Province0305;x
306;91;95;66;Province0306;x
307;186;251;17;Province0307;x
308;218;213;126;Province0308;x
309;141;107;61;Province0309;x
310;184;30;47;Province0310;x
311;252;111;85;Province0311;x
312;98;24;79;Province0312;x
313;74;25;49;Province0313;x
314;171;141;112;Province0314;x
315;183;43;62;Province0315;x
316;251;243;7;Province0316;x
317;247;105;20;Province0317;x
318;132;93;108;Province0318;x
319;95;252;47;Province0319;x
320;90;219;60;Province0320;x
321;196;123;117;Province0321;x
322;101;57;72;Province0322;x
323;203;105;47;Province0323;x
324;221;144;10;Province0324;x
325;137;253;38;Province0325;x
326;123;6;68;Province0326;x
327;173;206;84;Province0327;x
328;93;193;62;Province0328;x
329;252;0;76;Province0329;x
330;128;151;57;Province0330;x
331;120;31;93;Province0331;x
332;109;171;92;Province0332;x
333;237;36;99;Province0333;x
334;147;109;86;Province0334;x
335;217;166;70;Province0335;x
336;163;232;34;Province0336;x
337;116;145;52;Province0337;x
338;78;17;28;Province0338;x
339;160;66;5;Province0339;x
340;149;45;67;Province0340;x
341;188;245;83;Province0341;x
342;65;203;10;Province0342;x
343;104;109;44;Province0343;x
344;132;205;10;Province0344;x
345;192;170;109;Province0345;x
346;131;19;98;Province0346;x
347;250;143;59;Province0347;x
348;120;79;37;Province0348;x
349;158;52;102;Province0349;x
350;165;16;118;Province0350;x
351;232;47;117;Province0351;x
352;196;254;111;Province0352;x
353;95;90;97;Province0353;x
354;130;190;106;Province0354;x
355;145;254;111;Province0355;x
356;250;126;73;Province0356;x
357;80;76;1;Province0357;x
358;170;235;40;Province0358;x
359;135;253;89;Province0359;x
360;140;244;38;Province0360;x
361;207;151;96;Province0361;x
362;247;70;34;Province0362;x
363;106;114;89;Province0363;x
364;213;231;83;Province0364;x
365;189;10;11;Province0365;x
366;128;240;0;Province0366;x
367;187;9;92;Province0367;x
368;93;71;42;Province0368;x
369;64;39;34;Province0369;x
370;140;213;89;Province0370;x
371;67;10;126;Province0371;x
372;93;77;90;Province0372;x
373;87;85;125;Province0373;x
374;138;208;21;Province0374;x
375;68;87;13;Province0375;x
376;119;253;38;Province0376;x
377;71;159;124;Province0377;x
378;75;62;61;Province0378;x
379;226;180;36;Province0379;x
380;85;202;36;Province0380;x
381;180;172;112;Province0381;x
382;126;24;38;Province0382;x
383;70;224;87;Province0383;x
384;106;212;64;Province0384;x
385;219;86;2;Province0385;x
386;104;222;1;Province0386;x
387;118;215;121;Province0387;x
388;201;157;18;Province0388;x
389;144;78;108;Province0389;x
390;168;235;45;Province0390;x
391;189;10;99;Province0391;x
392;244;152;95;Province0392;x
393;102;70;52;Province0393;x
394;97;117;115;Province0394;x
395;177;36;52;Province0395;x
396;130;49;13;Province0396;x
397;80;42;74;Province0397;x
398;195;174;117;Province0398;x
399;85;177;25;Province0399;x
400;169;0;45;Province0400;x
401;135;55;71;Province0401;x
402;71;205;100;Province0402;x
403;252;254;14;Province0403;x
404;226;234;61;Province0404;x
405;65;28;7;Province0405;x
406;234;132;122;Province0406;x
407;152;85;5;Province0407;x
408;76;156;75;Province0408;x
409;114;165;91;Province0409;x
410;79;130;48;Province0410;x
411;132;18;35;Province0411;x
412;212;129;30;Province0412;x
413;220;3;56;Province0413;x
414;113;44;51;Province0414;x
415;146;254;124;Province0415;x
416;216;217;69;Province0416;x
417;118;79;99;Province0417;x
418;146;68;37;Province0418;x
419;106;214;118;Province0419;x
420;129;223;119;Province0420;x
421;158;182;50;Province0421;x
422;88;161;91;Province0422;x
423;123;254;104;Province0423;x
424;72;19;107;Province0424;x
425;170;89;110;Province0425;x
426;186;80;102;Province0426;x
427;174;71;53;Province0427;x
428;232;210;16;Province0428;x
429;223;247;75;Province0429;x
430;249;108;5;Province0430;x
431;240;167;105;Province0431;x
432;71;59;99;Province0432;x
433;102;99;59;Province0433;x
434;100;30;40;Province0434;x
435;251;11;93;Province0435;x
436;208;9;93;Province0436;x
437;221;200;32;Province0437;x
438;75;171;91;Province0438;x
439;233;136;121;Province0439;x
440;106;167;104;Province0440;x
441;179;18;18;Province0441;x
442;100;93;59;Province0442;x
443;95;169;25;Province0443;x
444;89;41;71;Province0444;x
445;68;218;111;Province0445;x
446;117;46;30;Province0446;x
447;203;224;113;Province0447;x
448;133;236;49;Province0448;x
449;192;218;15;Province0449;x
450;187;201;119;Province0450;x
451;227;191;40;Province0451;x
452;88;250;12;Province0452;x
453;68;254;60;Province0453;x
454;177;44;110;Province0454;x
455;176;73;102;Province0455;x
456;90;232;61;Province0456;x
457;133;33;19;Province0457;x
458;90;133;73;Province0458;x
459;173;44;120;Province0459;x
460;71;236;7;Province0460;x
461;160;189;10;Province0461;x
462;89;121;66;Province0462;x
463;161;204;120;Province0463;x
464;83;100;82;Province0464;x
465;102;232;66;Province0465;x
466;226;224;29;Province0466;x
467;211;172;126;Province0467;x
468;223;118;56;Province0468;x
469;170;134;36;Province0469;x
470;250;58;88;Province0470;x
471;184;232;79;Province0471;x
472;103;228;18;Province0472;x
473;144;170;29;Province0473;x
474;87;212;65;Province0474;x
475;146;121;38;Province0475;x
476;76;24;16;Province0476;x
477;111;32;1;Province0477;x
478;236;115;62;Province0478;x
479;201;55;29;Province0479;x
480;125;159;54;Province0480;x
481;247;24;56;Province0481;x
482;89;146;50;Province0482;x
483;251;184;68;Province0483;x
484;234;3;11;Province0484;x
485;181;66;112;Province0485;x
486;226;15;121;Province0486;x
487;231;183;28;Province0487;x
488;131;159;41;Province0488;x
489;172;217;120;Province0489;x
490;125;229;31;Province0490;x
491;118;231;16;Province0491;x
492;222;158;117;Province0492;x
493;162;137;110;Province0493;x
494;224;22;54;Province0494;x
495;134;240;42;Province0495;x
496;249;149;63;Province0496;x
497;178;146;21;Province0497;x
498;172;85;108;Province0498;x
499;237;156;72;Province0499;x
500;149;129;25;Province0500;x
501;73;42;3;Province0501;x
502;158;71;67;Province0502;x
503;234;108;52;Province0503;x
504;72;224;0;Province0504;x
505;123;173;120;Province0505;x
506;142;64;55;Province0506;x
507;249;38;90;Province0507;x
508;93;141;99;Province0508;x
509;170;18;66;Province0509;x
510;167;81;120;Province0510;x
511;207;71;74;Province0511;x
512;106;194;19;Province0512;x
513;216;204;20;Province0513;x
514;204;90;95;Province0514;x
515;132;2;103;Province0515;x
516;208;61;36;Province0516;x
517;113;96;41;Province0517;x
518;228;71;29;Province0518;x
519;202;193;95;Province0519;x
520;128;219;116;Province0520;x
521;213;212;108;Province0521;x
522;183;76;96;Province0522;x
523;66;42;61;Province0523;x
524;143;103;13;Province0524;x
525;89;97;16;Province0525;x
526;240;28;27;Province0526;x
527;185;39;64;Province0527;x
528;164;76;71;Province0528;x
529;244;243;64;Province0529;x
530;154;86;58;Province0530;x
